Sub_tariff,6_digits,CIIU4,description,avgtariff
105190000,10519,145,"Patos, gansos y pintadas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",
105190000,10519,145,"Patos, gansos y pintadas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",
105910000,10591,145,"Gallos y gallinas de las especies domésticas, vivos.",
105920000,10592,145,"Gallos y gallinas vivos, de peso inferior o igual a 2.000 g, pero superior a 185 g.",
105920000,10592,145,"Gallos y gallinas vivos, de peso inferior o igual a 2.000 g, pero superior a 185 g.",
105930000,10593,145,"Gallos y gallinas vivos, de peso superior a 2.000 g.",
105930000,10593,145,"Gallos y gallinas vivos, de peso superior a 2.000 g.",
105940000,10594,145,"Las demás aves de la especie Gallus Domesticus, vivos",0.100000001
105940000,10594,145,"Las demás aves de la especie Gallus Domesticus, vivos",0.100000001
105990000,10599,145,"Los demás patos, gansos, pavos y pintadas, de las especies domésticas vivos.",0.100000001
105990000,10599,145,"Los demás patos, gansos, pavos y pintadas, de las especies domésticas vivos.",0.100000001
105990000,10599,145,"Los demás patos, gansos, pavos y pintadas, de las especies domésticas vivos.",0.100000001
105990000,10599,145,"Los demás patos, gansos, pavos y pintadas, de las especies domésticas vivos.",0.100000001
106001000,10600,149,Los demás animales de peletería para reproducción o cría industrial.,
106001000,10600,149,Los demás animales de peletería para reproducción o cría industrial.,
106001000,10600,149,Los demás animales de peletería para reproducción o cría industrial.,
106002000,10600,149,Animales vivos para parques zoológicos.,
106002000,10600,149,Animales vivos para parques zoológicos.,
106003000,10600,149,Perros.,
106003000,10600,149,Perros.,
106004000,10600,149,Abejas y demás insectos vivos.,
106004000,10600,149,Abejas y demás insectos vivos.,
106009000,10600,149,Los demás animales vivos.,
106009000,10600,149,Los demás animales vivos.,
106009010,10600,149,"Reptiles, vivos.",
106009090,10600,149,Los demás animales vivos de la partida 01.06 no incluidos antes.,
106110000,10611,149,"Primates, vivos.",0.100000001
106120000,10612,149,"Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia), otarios y focas, leones marinos y morsas (mamíferos del suborden pinnipedia) vivos.",0.100000001
106120000,10612,149,"Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia), otarios y focas, leones marinos y morsas (mamíferos del suborden pinnipedia) vivos.",0.100000001
106120000,10612,149,"Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia), otarios y focas, leones marinos y morsas (mamíferos del suborden pinnipedia) vivos.",0.100000001
106131100,10613,149,"Llamas (Lama glama), incluidos los guanacos vivos",0.100000001
106131200,10613,149,Alpacas (Lama pacus) vivos,0.100000001
106131900,10613,149,"Los demás camélidos Sudamericanos, vivos",0.100000001
106139000,10613,149,"Los demás camellos y demás camélidos (camélidas), vivos.",0.100000001
106140000,10614,149,Conejos y liebres vivos,0.100000001
106190000,10619,149,Los demás mamíferos vivos,0.100000001
106190000,10619,149,Los demás mamíferos vivos,0.100000001
106191000,10619,149,Camélidos suramericanos.,0.100000001
106191100,10619,149,"Llamas (Lama glama), incluidos los guanacos",0.100000001
106191200,10619,149,Alpacas (Lama pacus) vivos,0.100000001
106191900,10619,149,"Los demás camélidos Sudamericanos, vivos",0.100000001
106199000,10619,149,Los demás mamíferos vivos.,0.100000001
106200000,10620,149,"Reptiles (incluidas las serpientes y tortugas de mar), vivos.",0.100000001
106310000,10631,145,"Aves de rapiña, vivas.",0.100000001
106320000,10632,145,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos) vivos.",0.100000001
106330000,10633,149,"Avestruces; Emúes (Dromaius Novaehollandiae), vivos",0.100000001
106390000,10639,145,"Las demás aves, vivas.",0.100000001
