cpcrev2,CONSERVATIVE,LIBERAL,CIIU4
6571,n,n,1399
6572,n,n,1399
6573,n,n,1399
6574,n,n,1399
6575,n,n,1394
6576,n,n,1410
6577,n,n,1399
6578,n,n,1399
6579,n,n,1399
6581,n,n,1392
6582,n,n,1392
6583,n,n,1392
6584,n,n,1392
6585,n,n,1392
6589,n,n,1392
6591,n,n,1709
6592,n,n,1393
6593,n,n,1393
6594,n,n,1393
6595,n,n,1393
6596,n,n,1393
6597,n,n,1690
6611,r,r,2394
6612,r,r,2394
6613,n,n,2396
6618,n,r,2399
6623,n,r,2391
6624,n,n,2392
6631,n,n,2399
6632,n,n,2399
6633,n,n,2395
6638,n,n,2399
6641,n,n,2310
6643,n,n,2310
6644,n,n,2310
6645,n,n,2310
6647,n,n,2310
6648,n,n,2310
6649,n,n,2310
6651,n,n,2310
6659,n,n,2310
6672,r,w,3210
6674,n,n,2399
6712,r,r,2410
6713,r,r,2410
6714,r,r,2410
6715,r,r,2410
6724,n,n,2410
6731,r,r,2410
6732,r,r,2410
6733,n,n,2410
6734,r,r,2410
6741,r,r,2410
6742,r,r,2410
6743,r,r,2410
6744,r,r,2410
6745,r,r,2410
6751,r,r,2410
6753,r,r,2410
6755,r,r,2410
6757,r,r,2410
6761,r,r,2410
6762,r,r,2410
6763,r,r,2410
6764,r,r,2410
6768,r,r,2410
6770,r,r,2410
6781,n,n,2410
6782,n,n,2410
6791,n,n,2431
6793,n,n,2410
6794,n,n,2410
6795,n,n,2431
6811,w,w,2421
6812,w,w,2421
6821,w,w,2429
6823,w,w,2429
6824,w,w,2429
6825,w,w,2429
6826,w,w,2429
6827,w,w,2429
6831,w,w,2429
6832,r,r,2429
6841,w,w,2429
6842,r,r,2429
6851,w,w,2429
6852,r,r,2429
6861,w,w,2429
6863,r,r,2429
6871,w,w,2429
6872,w,w,2429
6880,r,w,2011
6891,w,w,2429
6898,r,w,2429
6899,r,w,2429
6931,n,r,2599
6932,r,r,2599
6935,n,n,2599
6941,n,n,2599
6942,n,n,2599
6943,n,n,2599
6944,n,n,2599
6951,n,n,2593
6952,n,n,2593
6953,n,n,2593
6954,n,n,2593
6955,n,n,2593
6956,n,n,2593
6957,n,n,2593
6963,n,n,2593
6964,n,n,2593
6965,n,n,2593
6966,n,n,2593
6968,n,n,2593
6973,n,n,2750
6974,n,n,2599
6975,n,n,2599
6978,n,n,2599
6991,n,n,2593
6992,n,n,2599
6993,n,n,2599
6995,n,n,2599
6996,n,r,2599
6997,n,n,2599
6998,n,n,2429
6999,n,n,2429
7111,n,n,2513
7112,n,n,2513
7132,n,n,2910
7133,n,n,2811
7138,n,n,2811
7139,n,n,2930
7149,n,n,3030
7161,n,n,2711
7162,n,n,2711
7163,n,n,2711
7164,n,n,2712
7165,n,n,2712
7189,n,n,2812
7211,n,n,2821
7212,n,n,2821
7213,n,n,2821
7219,n,n,2825
7224,n,n,2821
7231,n,n,2824
7232,n,n,2824
7233,n,n,2824
7234,n,n,2824
7243,n,n,2826
7244,n,n,2826
7245,n,n,2826
7246,n,n,2826
7247,n,n,2826
7248,n,n,2826
7251,n,n,2829
7252,n,n,2829
7259,n,n,2829
7263,n,n,2829
7265,n,n,2829
7266,n,n,2829
7267,n,n,2620
7268,n,n,2829
7269,n,n,2829
7271,n,n,2825
7272,n,n,2825
7281,n,n,2822
7283,n,n,2824
7284,n,n,2829
7311,n,n,2822
7312,n,n,2822
7313,n,n,2822
7314,n,n,2822
7315,n,n,2822
7316,n,n,2822
7317,n,n,2822
7331,n,n,2822
7339,n,n,2822
7361,n,n,2822
7369,n,n,2822
7371,n,n,2823
7372,n,n,2823
7373,n,n,2790
7374,n,n,2819
7412,n,n,2815
7413,n,n,2815
7414,n,n,2819
7415,n,n,2819
7417,n,n,2819
7418,n,n,2750
7421,n,n,2813
7422,n,n,2813
7423,n,n,2813
7424,n,n,2813
7425,n,n,2813
7426,n,n,2813
7427,n,n,2813
7431,n,n,2813
7434,n,n,2750
7435,n,n,2825
7436,n,n,2819
7441,n,n,2816
7442,n,n,2816
7443,n,n,2816
7444,n,n,2816
7447,n,n,2816
7448,n,n,2816
7451,n,n,2818
7452,n,n,2819
7453,n,n,2819
7456,n,n,2819
7459,n,n,2819
7461,n,n,2814
7462,n,n,2814
7463,n,n,2814
7464,n,n,2814
7465,n,n,2814
7468,n,n,2814
7471,n,n,2813
7472,n,n,2813
7473,n,n,2813
7474,n,n,2813
7478,n,n,2813
7483,n,n,2814
7491,n,n,2829
7492,n,n,2813
7499,n,n,2819
7511,n,n,2817
7512,n,n,2817
7513,n,n,2817
7519,n,n,2817
7522,n,n,2620
7523,n,n,2620
7526,n,n,2620
7527,n,n,2620
7529,n,n,2610
7591,n,n,2829
7611,n,n,2640
7612,n,n,2640
7621,n,n,2640
7622,n,n,2640
7628,n,n,2640
7633,n,n,2640
7638,n,n,2640
7641,n,n,2620
7642,n,n,2640
7643,n,n,2630
7648,n,n,2630
7649,n,n,2630
7711,n,n,2711
7712,n,n,2711
7722,n,n,2610
7725,n,n,2712
7731,n,n,2732
7732,n,n,2310
7741,n,n,2660
7742,n,n,2660
7751,n,n,2750
7752,n,n,2750
7753,n,n,2750
7754,n,n,2750
7757,n,n,2750
7758,n,n,2750
7761,n,n,2610
7762,n,n,2610
7763,n,n,2610
7764,n,r,2620
7768,n,n,2610
7781,n,r,2720
7782,n,n,2740
7783,n,n,2930
7784,n,n,2818
7786,n,r,2790
7788,n,r,2599
7812,n,n,2910
7821,n,n,2824
7822,n,n,2910
7831,n,n,2910
7832,n,n,2910
7851,n,n,3091
7852,n,n,3092
7853,n,n,3092
7861,n,n,2920
7862,n,n,2821
7863,n,n,2920
7868,n,n,2920
7912,n,n,3020
7923,n,n,3030
7925,n,n,3030
7928,n,n,3030
7931,n,n,3012
7932,n,n,3011
7937,n,n,3011
7939,n,n,3011
8121,n,n,2512
8122,n,n,2392
8124,n,n,2740
8131,n,n,2740
8132,n,n,2740
8211,n,n,3030
8212,n,n,3120
8213,n,n,3110
8215,n,n,3110
8217,n,n,3110
8310,n,n,1512
8313,n,n,1512
8411,n,n,1410
8412,n,n,1410
8413,n,n,1410
8414,n,n,1410
8415,n,n,1410
8416,n,n,1410
8421,n,n,1410
8422,n,n,1410
8423,n,n,1410
8424,n,n,1410
8425,n,n,1410
8426,n,n,1410
8427,n,n,1410
8428,n,n,1410
8431,n,n,1410
8432,n,n,1410
8437,n,n,1410
8438,n,n,1410
8439,n,n,1410
8441,n,n,1410
8442,n,n,1410
8447,n,n,1410
8448,n,n,1410
